종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
95570,AJ네트웍스,"6,440",40,0.63,"6,440","6,360","32,336","206,781,140","6,500","6,500","6,330","1,000",원(KRW),"46,822,295","301,535,579,800",885
68400,AJ렌터카,"11,800",-50,0.42,"11,900","11,800","140,512","1,656,952,600","11,850","11,950","11,700",500,원(KRW),"22,146,300","261,326,340,000",
6840,AK홀딩스,"66,700","1,700",2.62,"66,700","66,600","24,742","1,640,046,400","65,800","66,900","64,600","5,000",원(KRW),"13,247,561","883,612,318,700",
27410,BGF리테일,"107,500","1,000",0.94,"107,500","107,000","71,336","7,603,196,000","106,000","108,000","105,500","1,000",원(KRW),"49,547,625","5,326,369,687,500",
138930,BNK금융지주,"9,620",50,0.52,"9,620","9,610","710,587","6,810,463,860","9,520","9,630","9,520","5,000",원(KRW),"325,935,246","3,135,497,066,520",
1460,BYC,"375,500","2,500",0.67,"375,500","372,500",159,"59,552,500","374,500","376,500","372,000","5,000",원(KRW),"624,615","234,542,932,500",
1040,CJ,"189,000","1,500",0.8,"189,000","188,500","47,699","8,986,193,000","187,000","189,500","187,000","5,000",원(KRW),"29,176,998","5,514,452,622,000",
79160,CJ CGV,"86,000","2,500",2.99,"86,000","85,900","116,771","9,936,656,000","83,500","86,100","83,300",500,원(KRW),"21,161,313","1,819,872,918,000",
120,CJ대한통운,"168,000",30,0,"168,000","167,500","41,962","7,063,542,000","167,000","171,000","167,000","5,000",원(KRW),"22,812,344","3,832,473,792,000",
11150,CJ씨푸드,"3,280",15,0.46,"3,280","3,275","115,877","379,337,155","3,270","3,305","3,260",500,원(KRW),"35,930,773","117,852,935,440",
97950,CJ제일제당,"343,500","1,500",0.44,"343,500","343,000","30,420","10,405,018,000","340,000","344,000","340,000","5,000",원(KRW),"13,164,998","4,522,176,813,000",
37560,CJ헬로비전,"9,490",200,2.15,"9,490","9,420","75,502","710,338,770","9,320","9,550","9,310","2,500",원(KRW),"77,446,865","734,970,748,850",
590,CS홀딩스,"83,600",100,0.12,"83,600","82,700",167,"13,889,000","83,500","84,400","82,500","5,000",원(KRW),"1,154,482","96,514,695,200",
139130,DGB금융지주,"11,750",30,0,"11,750","11,700","464,334","5,450,922,000","11,800","11,850","11,550","5,000",원(KRW),"169,145,833","1,987,463,537,750",
4840,DRB동일,"10,750",-150,1.38,"10,750","10,700","20,988","225,220,500","10,750","10,900","10,650",500,원(KRW),"19,000,000","204,250,000,000",
155660,DSR,"8,510",710,9.1,"8,520","8,510","4,655,224","40,874,228,250","7,830","9,230","7,820",500,원(KRW),"16,000,000","136,160,000,000",
69730,DSR제강,"8,460",970,12.95,"8,460","8,450","6,377,204","54,620,856,020","7,550","9,040","7,540",500,원(KRW),"14,400,000","121,824,000,000",
17940,E1,"60,000","1,200",2.04,"60,100","60,000","16,775","1,000,366,200","58,800","60,100","58,500","5,000",원(KRW),"6,860,000","411,600,000,000",
7700,F&F,"27,900",500,1.82,"27,900","27,850","20,099","560,030,150","27,400","28,000","27,200",500,원(KRW),"15,400,000","429,660,000,000",
114090,GKL,"22,300",400,1.83,"22,300","22,250","228,412","5,045,316,150","21,900","22,400","21,750",500,원(KRW),"61,855,670","1,379,381,441,000",
78930,GS,"59,100",-100,0.17,"59,100","59,000","163,755","9,627,457,600","58,500","59,500","58,400","5,000",원(KRW),"92,915,378","5,491,298,839,800",
6360,GS건설,"29,650","-1,250",4.05,"29,650","29,600","1,960,881","58,302,717,100","30,600","30,600","29,500","5,000",원(KRW),"71,000,000","2,105,150,000,000",
1250,GS글로벌,"3,280",60,1.86,"3,285","3,280","738,190","2,410,708,325","3,200","3,310","3,190","2,500",원(KRW),"82,533,764","270,710,745,920",
7070,GS리테일,"52,600",100,0.19,"52,600","52,500","104,619","5,502,680,300","52,300","53,000","52,200","1,000",원(KRW),"77,000,000","4,050,200,000,000",
1500,HMC투자증권,"11,150",150,1.36,"11,150","11,100","50,819","562,671,300","11,100","11,200","10,950","5,000",원(KRW),"29,337,111","327,108,787,650",
3560,IHQ,"1,760",5,0.28,"1,765","1,760","112,338","197,742,770","1,750","1,780","1,745",500,원(KRW),"143,556,056","252,658,658,560",
175330,JB금융지주,"6,150",60,0.99,"6,150","6,140","375,278","2,302,164,910","6,140","6,170","6,070","5,000",원(KRW),"155,439,423","955,952,451,450",
234080,JW생명과학,"27,850",100,0.36,"27,950","27,850","18,330","509,951,300","27,850","28,000","27,700","5,000",원(KRW),"7,917,277","220,496,164,450",
1060,JW중외제약,"43,200",350,0.82,"43,200","43,150","53,687","2,314,572,100","42,900","43,300","42,800","2,500",원(KRW),"19,117,112","825,859,238,400",
96760,JW홀딩스,"7,890",100,1.28,"7,890","7,880","79,989","625,379,530","7,720","7,890","7,720",500,원(KRW),"61,593,412","485,972,020,680",
105560,KB금융,"51,900",600,1.17,"52,000","51,900","1,015,103","52,581,804,700","51,200","52,300","51,200","5,000",원(KRW),"418,111,537","21,699,988,770,300",
2550,KB손해보험,"32,700",30,0,"32,750","32,700","786,114","25,707,557,700","32,700","32,750","32,700",500,원(KRW),"66,500,000","2,174,550,000,000",
21960,KB캐피탈,"27,300",50,0.18,"27,300","27,250","226,301","6,162,391,750","27,200","27,350","27,200","5,000",원(KRW),"21,492,128","586,735,094,400",
2380,KCC,"341,000",-500,0.15,"341,000","340,500","28,018","9,545,607,500","339,500","343,000","339,000","5,000",원(KRW),"10,556,513","3,599,770,933,000",
9070,KCTC,"3,110",20,0.65,"3,110","3,100","6,585","20,442,565","3,095","3,125","3,085",500,원(KRW),"30,000,000","93,300,000,000",
9440,KC그린홀딩스,"7,060",30,0.43,"7,060","7,050","45,618","320,531,660","7,080","7,080","7,000",500,원(KRW),"22,434,980","158,390,958,800",
119650,KC코트렐,"6,190",80,1.31,"6,200","6,190","50,261","310,570,640","6,100","6,210","6,100",500,원(KRW),"13,000,000","80,470,000,000",
92220,KEC,"1,040",10,0.97,"1,040","1,035","380,078","393,711,210","1,040","1,050","1,025",500,원(KRW),"89,047,384","92,609,279,360",
109070,KGP,359,14,4.06,360,359,"4,156,891","1,536,249,983",351,392,349,500,원(KRW),"65,814,325","23,627,342,675",
1390,KG케미칼,"13,550",30,0,"13,550","13,500","5,198","70,251,500","13,550","13,600","13,450","5,000",원(KRW),"11,576,968","156,867,916,400",
1940,KISCO홀딩스,"63,900",-300,0.47,"64,000","63,900","2,030","129,493,100","64,600","64,600","63,500","5,000",원(KRW),"3,695,276","236,128,136,400",
83420,KPX그린케미칼,"4,325",-35,0.8,"4,325","4,320","15,655","67,898,865","4,360","4,425","4,315",500,원(KRW),"20,000,000","86,500,000,000",
25000,KPX케미칼,"61,400",700,1.15,"61,400","61,000","5,493","334,172,700","60,900","61,400","60,400","5,000",원(KRW),"4,840,000","297,176,000,000",
92230,KPX홀딩스,"62,100",-500,0.8,"62,500","62,100",855,"53,105,700","62,100","62,500","61,900","5,000",원(KRW),"4,224,646","262,350,516,600",
40,KR모터스,739,29,4.08,739,738,"420,366","307,739,407",716,749,706,500,원(KRW),"176,129,474","130,159,681,286",
44450,KSS해운,"8,440",40,0.48,"8,490","8,440","15,634","131,625,570","8,490","8,500","8,350",500,원(KRW),"23,185,880","195,688,827,200",
30200,KT,"32,000",-450,1.39,"32,000","31,950","550,324","17,878,203,875","32,200","32,400","31,900","5,000",원(KRW),"261,111,808","8,355,577,856,000",
33780,KT&G,"104,000",30,0,"104,500","104,000","436,433","45,395,496,000","102,500","105,000","102,500","5,000",원(KRW),"137,292,497","14,278,419,688,000",
30210,KTB투자증권,"3,550",160,4.72,"3,550","3,545","608,738","2,140,165,990","3,435","3,550","3,420","5,000",원(KRW),"60,314,092","214,115,026,600",
58850,KTcs,"2,555",5,0.2,"2,560","2,555","68,476","174,744,495","2,540","2,565","2,540",500,원(KRW),"42,685,000","109,060,175,000",
93050,LF,"25,600",-100,0.39,"25,600","25,500","205,639","5,239,319,150","25,700","26,050","25,300","5,000",원(KRW),"29,240,000","748,544,000,000",
3550,LG,"68,500",100,0.15,"68,600","68,500","183,787","12,549,615,140","67,900","68,700","67,900","5,000",원(KRW),"172,557,131","11,820,163,473,500",
34220,LG디스플레이,"30,000",400,1.35,"30,050","30,000","1,852,356","55,553,039,300","29,650","30,200","29,650","5,000",원(KRW),"357,815,700","10,734,471,000,000",
1120,LG상사,"33,100",350,1.07,"33,100","33,050","228,857","7,576,434,900","32,700","33,250","32,700","5,000",원(KRW),"38,760,000","1,282,956,000,000",
51900,LG생활건강,"916,000","66,000",7.76,"916,000","915,000","77,210","68,963,420,000","864,000","919,000","856,000","5,000",원(KRW),"15,618,197","14,306,268,452,000",
32640,LG유플러스,"13,750",-250,1.79,"13,800","13,750","1,870,597","25,819,319,200","14,050","14,150","13,600","5,000",원(KRW),"436,611,361","6,003,406,213,750",
11070,LG이노텍,"129,500","1,000",0.78,"130,000","129,500","256,099","33,202,492,000","126,000","130,500","126,000","5,000",원(KRW),"23,667,107","3,064,890,356,500",
