종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
060310,3S,"2,450","40","1.66","2,450","2,445","146,513","356,294,615","2,420","2,460","2,380","500",원(KRW),"41,974,138","102,836,638,100",2257
095570,AJ네트웍스,"6,440","40","0.63","6,440","6,360","32,336","206,781,140","6,500","6,500","6,330","1,000",원(KRW),"46,822,295","301,535,579,800",
068400,AJ렌터카,"11,800","-50","0.42","11,900","11,800","140,512","1,656,952,600","11,850","11,950","11,700","500",원(KRW),"22,146,300","261,326,340,000",
006840,AK홀딩스,"66,700","1,700","2.62","66,700","66,600","24,742","1,640,046,400","65,800","66,900","64,600","5,000",원(KRW),"13,247,561","883,612,318,700",
054620,APS홀딩스,"15,450","300","1.98","15,450","15,400","343,990","5,288,283,700","15,250","15,500","15,150","500",원(KRW),"11,930,928","184,332,837,600",
265520,AP시스템,"51,800","-200","0.38","51,900","51,800","140,846","7,299,728,200","52,100","52,400","51,600","500",원(KRW),"13,679,033","708,573,909,400",
211270,AP위성,"9,010","30","0.00","9,010","9,000","17,839","160,648,510","8,970","9,060","8,950","500",원(KRW),"15,014,804","135,283,384,040",
027410,BGF리테일,"107,500","1,000","0.94","107,500","107,000","71,336","7,603,196,000","106,000","108,000","105,500","1,000",원(KRW),"49,547,625","5,326,369,687,500",
138930,BNK금융지주,"9,620","50","0.52","9,620","9,610","710,587","6,810,463,860","9,520","9,630","9,520","5,000",원(KRW),"325,935,246","3,135,497,066,520",
001460,BYC,"375,500","2,500","0.67","375,500","372,500","159","59,552,500","374,500","376,500","372,000","5,000",원(KRW),"624,615","234,542,932,500",
001465,BYC우,"163,500","1,500","0.93","166,500","163,500","140","22,911,000","162,000","166,000","161,500","5,000",원(KRW),"215,385","35,215,447,500",
032040,C&S자산관리,"2,065","-40","1.90","2,075","2,065","60,773","126,487,785","2,155","2,155","2,055","2,500",원(KRW),"32,554,841","67,225,746,665",
001040,CJ,"189,000","1,500","0.80","189,000","188,500","47,699","8,986,193,000","187,000","189,500","187,000","5,000",원(KRW),"29,176,998","5,514,452,622,000",
079160,CJ CGV,"86,000","2,500","2.99","86,000","85,900","116,771","9,936,656,000","83,500","86,100","83,300","500",원(KRW),"21,161,313","1,819,872,918,000",
130960,CJ E&M,"83,900","1,800","2.19","83,900","83,800","343,643","28,663,591,600","82,100","84,000","81,200","5,000",원(KRW),"38,732,089","3,249,622,267,100",
000120,CJ대한통운,"168,000","30","0.00","168,000","167,500","41,962","7,063,542,000","167,000","171,000","167,000","5,000",원(KRW),"22,812,344","3,832,473,792,000",
011150,CJ씨푸드,"3,280","15","0.46","3,280","3,275","115,877","379,337,155","3,270","3,305","3,260","500",원(KRW),"35,930,773","117,852,935,440",
011155,CJ씨푸드1우,"29,800","-800","2.61","30,000","29,800","44,416","1,332,610,200","31,200","31,350","29,000","500",원(KRW),"200,000","5,960,000,000",
